Comment[cptac accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
S049	20171001_HF_ZHW_total_liver01_F47.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Proteome/liver01_Proteome_raw/20171001_HF_ZHW_total_liver01_F47.raw										
S049	20171001_HF_ZHW_total_liver01_F48.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Proteome/liver01_Proteome_raw/20171001_HF_ZHW_total_liver01_F48.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F01.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F02.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F03.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F04.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F05.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F06.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F07.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F08.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F09.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F10.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F11.raw										
S049	20180323_fusion_zhw_TMT10_liver02_pho_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver02_Phosphoproteome/liver02_Phosphoproteome_raw/20180323_fusion_zhw_TMT10_liver02_pho_F12.raw										
